"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"1361","LHC Group  Inc.","LHCG","35102015",1098930,2259,1335,1533,177,321,131,1255,0,194,6288.05795939473,0.0014,"Yes"
"1362","Chatham Lodging Trust","CLDT","60101080",1098931,210,68,365,0,0,6,0,0,54,380.11375915546,0,"Yes"
"1363","Ethan Allen Interiors Inc.","ETH","25201020",1098932,651,285,1032,675,19,41,25,0,25,483.5800594898,0,"Yes"
"1364","New Senior Investment Group Inc","SNR","60101060",1098933,338,59,580,1365,5,2,0,0,102,512.19195119872,0,"Yes"
"1365","Corcept Therapeutics Incorporated","CORT","35202010",1098934,402,7,283,4,0,0,0,121,145,2937.29819910937,0,"Yes"
"1366","Glaukos Corp","GKOS","35101020",1098935,291,49,423,35,0,0,0,82,0,3167.43832728773,0,"Yes"
"1367","Coherus Biosciences Inc","CHRS","35201010",1098936,441,34,364,21,2,41,0,130,146,1690.40521957235,0,"Yes"
"1368","ATN International Inc","ATNI","50101020",1098937,510,128,417,941,95,77,59,91,13,856.342032832,0,"Yes"
"1369","Timkensteel Corp","TMST","15104050",1098939,1046,1005,216,1886,17,15,0,3,8,382.76797888143,5e-04,"Yes"
"1370","Applied Optoelectronics Inc","AAOI","45203010",1098942,251,177,145,387,9,12,0,49,-17,175.55722176926,0,"Yes"
"1371","National CineMedia  Inc.","NCMI","50201010",1098944,278,107,281,111,601,30,0,0,-13,279.67230185856,0,"Yes"
"1372","ICF International Inc","ICFI","20201070",1098945,1563,991,1148,175,36,229,745,0,111,1533.43132889413,8e-04,"Yes"
"1373","Hersha Hospitality Trust","HT","60101080",1098947,304,271,68,2338,6,293,0,0,20,344.35746665682,0,"Yes"
"1374","H&E Equipment Services  Inc.","HEES","20201070",1098948,1174,751,829,2486,34,188,129,0,133,1021.87287997096,4e-04,"Yes"
"1375","Advanced Drainage Systems Inc","WMS","20102010",1098949,1821,1163,703,1138,567,24,598,0,198,5971.44708876,0.002,"Yes"
"1376","Cohen & Steers  Inc.","CNS","40203010",1098950,473,65,555,91,1,0,18,0,176,3422.90980372392,0,"Yes"
"1377","McGrath RentCorp","MGRC","20201070",1098951,581,315,359,1735,7,6,28,0,192,1515.693035216,0,"Yes"
"1378","Aegion Corp","AEGN","20103010",1098952,1102,865,0,390,104,29,256,5,61,597.69299908171,0.1228,"Yes"
"1379","Winnebago Industries  Inc.","WGO","25202010",1098953,3048,2591,407,361,441,27,379,0,140,1967.9712565526,0.0083,"Yes"
"1380","Abercrombie & Fitch Co.","ANF","25504010",1098954,3121,1254,6064,3975,0,224,0,0,-11,1453.449467619,6e-04,"Yes"
"1381","TrueCar Inc","TRUE","45102030",1098955,253,21,750,98,17,0,73,40,0,463.104422088,0,"Yes"
"1382","Oxford Industries Inc","OXM","25203010",1098957,765,337,1629,801,175,0,66,0,44,1109.005151517,0,"Yes"
"1383","Air Transport Services Group Inc.","ATSG","20301010",1098958,1741,712,763,3546,180,25,544,0,76,2270.8163700161,0.0016,"Yes"
"1384","Cincinnati Bell Inc.","CBB","50101020",1098959,1530,781,951,5122,184,39,190,0,175,782.50190083884,9e-04,"Yes"
"1385","Box Inc","BOX","45103020",1098961,768,205,1168,681,25,84,18,185,194,1934.7577418232,0,"Yes"
"1386","Archrock Inc","AROC","10101020",1098964,805,392,324,4047,82,18,106,0,12,1174.53136510343,0,"No"
"1387","Cardiovascular Systems Inc","CSII","35101020",1098965,269,56,483,54,16,0,0,42,6,1259.2987704,0,"Yes"
"1388","Exterran Corp","EXTN","10101020",1098966,691,512,432,1546,87,15,0,0,114,140.14906222317,0,"No"
"1389","Lydall  Inc.","LDL","20106020",1098967,832,647,339,597,164,2,191,10,30,510.6030477705,0,"Yes"
"1390","Performance Food Group Co","PFGC","30101030",1098968,28575,25194,111,2774,1033,365,1522,0,241,6481.5954308,1,"Yes"
"1391","ePlus Inc.","PLUS","45102010",1098971,1545,1168,723,48,41,2,141,0,90,1137.669737242,0.0013,"Yes"
"1392","ARMOUR Residential REIT  Inc.","ARR","60101080",1098972,83,0,72,0,0,0,0,0,0,711.3682218941,0,"Yes"
"1393","Novanta Inc (USA)","NOVT","45203010",1098974,634,351,327,202,212,24,351,55,102,4289.93575182103,0,"Yes"
"1394","Taylor Morrison Home Corp","TMHC","25201030",1098975,7117,5827,1370,0,1,40,267,0,-391,3326.89366448009,1,"Yes"
"1395","Lattice Semiconductor Corp","LSCC","45301020",1098976,437,167,259,205,7,13,282,82,105,5985.01847529661,0,"Yes"
"1396","Helios Technologies Inc","HLIO","20106020",1098977,665,405,269,363,515,10,660,18,66,1619.44946898124,0,"Yes"
"1397","Koppers Holdings Inc.","KOP","15101010",1098978,1683,1349,405,1103,215,82,378,0,119,592.86192647199,0.0028,"Yes"
"1398","Hannon Armstrong Sustnbl Infrstr Cap Inc","HASI","60101040",1098979,101,-18,77,0,0,3,0,0,149,4265.86095361263,0,"Yes"
"1399","Lindsay Corporation","LNN","20106010",1098980,477,332,272,235,22,22,64,14,49,1304.5189501344,0,"Yes"
"1400","Greenhill & Co.  Inc.","GHL","40203020",1098982,303,10,675,82,0,30,205,0,31,288.0489357344,0,"Yes"
"1401","Federal Signal Corporation","FSS","20106010",1098983,1227,894,435,404,207,20,494,13,141,2049.28431515494,9e-04,"Yes"
"1402","Green Plains Inc","GPRE","10102050",1098984,2682,2468,336,1366,0,39,0,0,-96,496.2012983781,0.0083,"No"
"1403","Kraton Corp","KRA","15101050",1098985,1556,1149,434,1764,325,72,772,33,144,1048.33214928111,0.0022,"Yes"
"1404","The Ensign Group  Inc.","ENSG","35102015",1098986,2659,2040,677,2056,6,57,55,0,-10,4365.89571782273,0.004,"Yes"
"1405","National Beverage Corp.","FIZZ","30201030",1098987,1076,656,575,355,1,0,13,0,156,4208.10269088,3e-04,"Yes"
"1406","Nelnet  Inc.","NNI","20201070",1098988,1146,406,1110,735,82,32,159,0,395,2613.66022149427,2e-04,"Yes"
"1407","U.S. Physical Therapy  Inc.","USPH","35102015",1098990,467,354,121,176,58,23,352,0,61,1455.32917702688,0,"Yes"
"1408","Tivity Health Inc","TVTY","35102015",1098991,681,365,554,134,689,39,654,0,152,970.22077052713,0,"Yes"
"1409","Xencor Inc","XNCR","35201010",1098992,75,0,78,41,14,0,0,201,-110,2239.9051859229,0.0773,"Yes"
"1410","Q2 Holdings Inc","QTWO","45103020",1098994,489,223,367,130,371,38,767,116,35,4974.48666235645,0,"Yes"
"1411","Virtusa Corporation","VRTU","45102010",1098996,1263,932,777,259,144,45,326,0,26,1543.1490402,6e-04,"Yes"
"1412","BJ's Restaurants  Inc.","BJRI","25301040",1098997,1047,666,855,1562,0,29,4,0,64,895.70936492882,1e-04,"Yes"
"1413","Clearwater Paper Corp","CLW","15105020",1098998,1779,1547,359,3136,16,56,35,0,140,624.51806795625,0.0036,"Yes"
"1414","Mantech International Corp","MANT","45102010",1099000,2666,2255,545,322,221,9,1341,0,132,3365.38084192809,0.0051,"Yes"
"1415","MTS Systems Corporation","MTSC","20104010",1099001,830,523,613,325,350,18,490,28,79,883.4840709016,0,"Yes"
"1416","Diodes Incorporated","DIOD","45301020",1099003,1551,1020,521,1270,109,6,129,115,64,3018.24865328737,0.0018,"Yes"
"1417","Argan  Inc.","AGX","20103010",1099004,412,330,119,41,4,0,26,0,-8,845.6570438616,0,"Yes"
"1418","Gray Television  Inc.","GTN","50201020",1099005,2191,1552,176,1188,5273,49,1890,0,544,1762.5610774175,0.011,"Yes"
"1419","Heartland Express  Inc.","HTLD","20304020",1099006,693,0,1274,764,30,0,189,0,80,1516.32369128579,0,"Yes"
"1420","Qualys Inc","QLYS","45102010",1099008,408,78,327,236,19,0,8,82,130,3740.81163693346,0,"Yes"
"1421","Viad Corp","VVI","50201010",1099009,518,503,25,988,101,1,310,0,14,665.11236,0,"Yes"
"1422","Calavo Growers  Inc.","CVGW","30202010",1099010,1173,1046,175,228,0,9,18,0,49,1276.34359490485,0.0018,"Yes"
"1423","Moelis & Co","MC","40203020",1099011,867,0,1732,227,0,0,0,0,351,3309.15289833201,0,"Yes"
"1424","Huron Consulting Group Inc","HURN","20201070",1099012,873,599,572,175,33,31,689,0,44,1117.31239181579,0,"Yes"
"1425","Denny's Corp","DENN","25301040",1099013,391,160,541,390,41,47,28,0,59,834.9974818416,0,"Yes"
"1426","Encore Wire Corporation","WIRE","20104010",1099014,1340,1163,269,699,0,0,0,0,16,953.5337380275,0.0022,"Yes"
"1427","SPS Commerce  Inc.","SPSC","45103020",1099015,340,104,346,95,25,0,85,33,47,3672.7180886815,0,"Yes"
"1428","Universal Electronics Inc","UEIC","25201010",1099017,662,449,335,247,15,0,38,23,59,815.66663937085,0,"Yes"
"1429","Monmouth R.E. Inv. Corp.","MNR","60101040",1099018,154,13,22,1845,14,0,0,0,124,1483.95165186982,0,"Yes"
"1430","CIRCOR International  Inc.","CIR","20106020",1099019,821,530,689,309,378,14,267,6,67,742.12829254186,0,"Yes"
"1431","Primoris Services Corp","PRIM","20103010",1099020,3441,3079,563,1015,64,83,199,0,147,1307.79242392577,0.0071,"Yes"
"1432","TriMas Corp","TRS","20106020",1099023,836,605,252,458,149,22,309,0,96,1352.10152218842,0,"Yes"
"1433","Dine Brands Global Inc","DIN","25301040",1099024,853,506,427,925,581,239,347,0,188,1161.1785380964,0,"Yes"
"1434","Bottomline Technologies (DE) Inc","EPAY","45103020",1099025,464,190,436,150,149,20,199,74,34,2099.7779,0,"Yes"
"1435","Harsco Corp","HSC","20201050",1099026,2146,1688,725,1872,290,34,716,7,79,1401.63636531082,0.0026,"Yes"
"1436","Capstead Mortgage Corporation","CMO","60101080",1099027,147,0,24,0,0,1,0,0,0,639.75620369878,0,"Yes"
"1437","National Storage Affiliates Trust","NSA","60101080",1099028,461,0,444,3091,6,24,5,0,439,2374.05979900395,0,"Yes"
"1438","Insmed Incorporated","INSM","35201010",1099030,239,49,531,133,41,36,0,174,-229,4117.76241108851,0,"Yes"
"1439","US Concrete Inc","USCR","15102010",1099031,1389,1083,378,1083,107,52,277,0,126,609.88121724,0.0018,"Yes"
"1440","Re/Max Holdings Inc","RMAX","60102040",1099032,293,0,464,77,136,16,181,0,96,600.5350775,0,"Yes"
"1441","Sturm Ruger & Company Inc","RGR","25202010",1099033,536,371,203,409,2,0,0,9,84,1143.60067285231,0,"Yes"
"1442","Piper Sandler Companies","PIPR","40203020",1099035,1128,29,2162,139,15,24,78,0,145,1860.24537039797,1e-04,"Yes"
"1443","Rush Enterprises  Inc.","RUSHA","25504050",1099036,5217,4260,2054,2027,0,44,293,0,-12,2273.77391250041,0.1026,"Yes"
"1444","Altra Industrial Motion Corp","AIMC","20106020",1099037,1820,1141,860,752,1757,35,1982,57,280,3573.28459170749,0.0016,"Yes"
"1445","Badger Meter  Inc.","BMI","20106020",1099039,449,271,304,217,40,0,60,12,63,2537.3881042999,0,"Yes"
"1446","Caretrust REIT Inc","CTRE","60101080",1099040,179,0,58,2265,0,3,0,0,-188,2137.45553492091,0,"Yes"
"1447","Emergent Biosolutions Inc","EBS","35202010",1099041,1874,735,678,1050,1081,21,388,286,491,4561.88772660667,0.0022,"Yes"
"1448","Blueprint Medicines Corp","BPMC","35201010",1099042,146,0,231,124,0,0,0,451,-20,6511.2467038382,0,"Yes"
"1449","Installed Building Products Inc","IBP","20103010",1099043,1911,1316,812,341,175,36,223,0,178,2819.46854011165,0.0019,"Yes"
"1450","ScanSource  Inc.","SCSC","45202030",1099045,2953,2624,759,172,143,18,252,0,80,688.5515411352,0.0042,"Yes"
"1451","Patrick Industries  Inc.","PATK","20102010",1099046,2765,2245,625,452,518,77,463,0,188,1589.21165043614,0.0046,"Yes"
"1452","TherapeuticsMD Inc","TXMD","35202010",1099047,162,22,412,13,43,9,0,20,-189,379.68934099554,0,"Yes"
"1453","Standard Motor Products  Inc.","SMP","25101010",1099048,1153,811,689,336,75,0,90,0,76,1156.80722320812,4e-04,"Yes"
"1454","Callaway Golf Co","ELY","25202010",1099049,1719,945,1429,658,717,21,296,49,74,2127.53416435654,8e-04,"Yes"
"1455","Amicus Therapeutics  Inc.","FOLD","35201010",1099051,342,37,432,95,23,24,197,294,-162,5642.11176783532,0,"Yes"
"1456","Seacor Holdings  Inc.","CKH","10101020",1099052,793,580,303,1586,20,59,32,0,95,867.70976859393,0,"No"
"1457","Helix Energy Solutions Group Inc","HLX","10101020",1099053,723,652,211,2931,3,75,7,0,78,564.360602388,0,"No"
"1458","SPX Corp","SPXC","20106020",1099054,1596,1092,887,550,343,1,612,24,157,2586.39636026436,0.0011,"Yes"
"1459","Triton International Ltd","TRTN","20201070",1099055,1409,136,232,12452,56,8,236,0,18,3217.65786042889,0.003,"Yes"
"1460","Andersons Inc","ANDE","30202010",1099058,7704,7231,1054,2250,182,67,141,0,15,774.510506952,0.3759,"Yes"
"1461","Tronox Holdings PLC","TROX","15101050",1099059,2920,2183,751,4599,220,86,0,16,305,1905.73251537462,0.0042,"Yes"
"1462","Wisdom Tree Investments Inc","WETF","40203010",1099060,264,0,535,37,760,6,108,0,57,827.35916724618,0,"Yes"
"1463","ADTRAN  Inc.","ADTN","45201020",1099061,550,313,365,355,33,0,8,113,24,722.05969405971,0,"Yes"
"1464","G-III Apparel Group  Ltd.","GIII","25203010",1099063,2062,1333,2417,498,476,189,260,0,370,1153.82968624,7e-04,"Yes"
"1465","Chart Industries  Inc.","GTLS","20106020",1099064,1262,871,530,738,783,35,1250,9,190,4056.27008619804,9e-04,"Yes"
"1466","Community Health Systems Inc","CYH","35102015",1099065,12262,1964,19473,8260,0,507,3705,0,-14237,1037.09100417299,0.7303,"Yes"
"1467","Evertec Inc","EVTC","20201070",1099067,539,231,188,155,250,21,412,0,222,2897.59495725368,0,"Yes"
"1468","Amkor Technology  Inc.","AMKR","45301010",1099068,5268,4352,871,8182,0,104,26,176,390,3969.48752965037,0.0713,"Yes"
"1469","Raven Industries  Inc.","RAVN","20105010",1099069,361,237,140,267,49,0,114,30,36,1191.98336783803,0,"Yes"
"1470","Boise Cascade Co","BCC","15105010",1099071,5092,4308,1376,1337,18,49,62,0,173,1789.09139628384,0.0876,"Yes"
"1471","Scientific Games Corp","SGMS","25301010",1099072,3128,1230,2029,1594,1859,104,3437,168,-276,4677.28673204184,0.0017,"Yes"
"1472","Knoll Inc","KNL","20201060",1099073,1210,759,1101,665,427,71,407,14,59,747.78984,3e-04,"Yes"
"1473","Five Prime Therapeutics Inc","FPRX","35201010",1099075,15,0,115,61,0,0,0,98,-95,675.48921434631,0,"Yes"
"1474","AAR Corp.","AIR","20101010",1099076,1709,1488,640,471,6,63,115,0,155,1126.701394,0.0019,"Yes"
"1475","Sykes Enterprises  Incorporated","SYKE","45102010",1099081,1761,1146,1211,714,161,14,317,0,112,1577.36133309689,0.0011,"Yes"
"1476","Trueblue Inc","TBI","20202010",1099083,1987,1518,1468,283,75,2,242,0,22,700.7536115426,0.0011,"Yes"
"1477","Greenbrier Companies Inc","GBX","20106010",1099085,2016,1785,546,1124,92,27,164,3,261,880.93680434095,0.0031,"Yes"
"1478","Saia Inc","SAIA","20304020",1099086,2030,520,2958,2033,9,21,12,0,34,4767.1678937143,6e-04,"Yes"
"1479","PennyMac Mortgage Investment Trust","PMT","60101080",1099087,601,0,29,0,1535,0,0,0,0,1738.92190745151,0,"Yes"
"1480","Penn National Gaming  Inc","PENN","25301010",1099088,4958,2613,2497,13299,2238,1700,1403,0,1361,11972.3938927601,0.0285,"Yes"
"1481","Walker & Dunlop  Inc.","WD","40101010",1099089,1037,0,664,0,760,22,193,0,0,2569.35543415956,1e-04,"Yes"
"1482","Ferro Corporation","FOE","15101050",1099090,992,675,525,292,152,17,204,39,89,1183.40193685975,0,"Yes"
"1483","SPX Flow Inc","FLOW","20106020",1099091,1404,884,1153,497,208,39,545,0,101,2415.95199614303,6e-04,"Yes"
"1484","TTM Technologies  Inc.","TTMI","45301020",1099092,2154,1761,678,2342,303,20,709,0,182,1466.160377265,0.0028,"Yes"
"1485","Conmed Corp","CNMD","35101020",1099093,1017,442,991,392,597,21,693,47,117,2798.38907913155,1e-04,"Yes"
"1486","Veeco Instruments Inc.","VECO","45301020",1099094,500,282,245,237,95,10,282,92,103,881.86782178211,0,"Yes"
"1487","Consolidated Communications Holdings Inc","CNSL","50101020",1099095,1274,536,832,4457,195,24,1160,0,165,324.9179354941,6e-04,"Yes"
"1488","Agree Realty Corporation","ADC","60101040",1099096,316,36,49,4112,299,15,0,0,-940,4024.13425780214,0,"Yes"
"1489","BMC Stock Holdings Inc","BMCH","20102010",1099098,4309,3188,2117,780,190,69,304,0,178,3193.45423707612,0.0026,"Yes"
"1490","SpartanNash Co","SPTN","30101030",1099099,8899,7584,3416,1604,209,144,205,0,148,642.96368369133,0.4513,"Yes"
"1491","Tutor Perini Corp","TPC","20103010",1099100,5348,4785,760,997,149,27,197,0,438,671.2383441436,0.128,"Yes"
"1492","Houghton Mifflin Harcourt Co","HMHC","20202020",1099101,1103,607,1858,796,692,33,668,0,100,485.0643937828,1e-04,"Yes"
"1493","Astec Industries  Inc.","ASTE","20106010",1099102,1151,879,520,524,23,2,30,25,19,1402.33834268192,5e-04,"Yes"
"1494","Triumph Group Inc","TGI","20101010",1099103,1847,1530,840,923,382,57,513,0,252,969.8560217892,0.0017,"Yes"
"1495","Vonage Holdings Corp.","VG","50102010",1099104,1304,582,1409,156,475,71,895,71,167,3450.9272751653,4e-04,"Yes"
"1496","Genesco Inc.","GCO","25504010",1099105,1747,966,2900,1427,36,16,122,0,27,469.0600389685,4e-04,"Yes"
"1497","Cal-Maine Foods Inc","CALM","30202010",1099106,1402,1184,529,1145,23,0,36,0,-44,1637.9134025472,0.0013,"Yes"
"1498","Inogen Inc","INGN","35101020",1099107,326,179,362,70,4,0,2,9,5,883.74075252185,0,"Yes"
"1499","Puma Biotechnology Inc","PBYI","35201010",1099109,240,43,363,79,44,46,0,120,-11,404.53130614956,0,"Yes"
"1500","Franklin Street Properties Corp.","FSP","60101040",1099110,263,0,41,2172,59,2,0,0,0,513.64607,0,"Yes"
"1501","Integer Holdings Corp","ITGR","35101010",1099111,1188,843,341,529,812,47,832,44,179,2695.82349201798,0.001,"Yes"
"1502","Scholastic Corp","SCHL","50201040",1099112,1420,720,2242,1166,106,61,108,0,47,894.174028,3e-04,"Yes"
"1503","Interface  Inc.","TILE","25201020",1099113,1129,700,941,671,0,101,326,15,89,553.24824179742,3e-04,"Yes"
"1504","Werner Enterprises  Inc.","WERN","20304020",1099114,2552,425,4510,2248,0,0,0,0,125,2770.88622722672,6e-04,"Yes"
"1505","Standex International Corp","SXI","20106020",1099115,626,400,428,351,115,37,293,7,61,960.8752075296,0,"Yes"
"1506","SeaWorld Entertainment Inc","SEAS","25301030",1099116,938,579,612,3271,172,337,66,0,66,2334.65177056154,0,"Yes"
"1507","Schweitzer-Mauduit International  Inc.","SWM","15105020",1099117,1082,768,390,851,371,27,447,13,175,1251.3131262532,4e-04,"Yes"
"1508","Natus Medical Inc","NTUS","35101010",1099118,452,179,538,83,236,5,250,49,53,714.1422716064,0,"Yes"
"1509","American Woodmark Corporation","AMWD","20102010",1099119,1693,1353,515,616,172,109,780,0,136,1593.5115683656,0.0023,"Yes"
"1510","Radius Health Inc","RDUS","35201010",1099120,269,21,496,8,16,10,0,126,-20,656.36556323936,0,"Yes"
"1511","Tennant Company","TNC","20106020",1099121,1082,639,986,512,226,37,281,31,98,1350.93182784581,2e-04,"Yes"
"1512","Theravance Biopharma Inc","TBPH","35202010",1099122,135,0,318,70,0,70,0,298,-220,1292.31811130182,0,"Yes"
"1513","Redwood Trust  Inc.","RWT","60101080",1099123,138,18,191,10,0,15,0,0,0,1241.07739521028,0,"Yes"
"1514","Neenah Inc","NP","15105020",1099124,850,679,279,815,76,21,91,30,77,928.9881048684,0,"Yes"
"1515","Shenandoah Telecommunications Company","SHEN","50102010",1099125,244,38,354,1723,317,486,126,0,133,2190.90505962471,0,"Yes"
"1516","OSI Systems  Inc.","OSIS","45203010",1099126,1121,710,716,333,143,20,348,53,159,1678.99017726,3e-04,"Yes"
"1517","M.D.C. Holdings  Inc.","MDC","25201030",1099127,4965,3880,1000,173,0,28,6,0,-170,3182.69250277127,0.087,"Yes"
"1518","Terreno Realty Corporation","TRNO","60101040",1099128,202,48,68,2154,0,0,0,0,137,3943.33518932033,0,"Yes"
"1519","CSG Systems International  Inc.","CSGS","45102010",1099129,936,508,496,300,139,61,260,119,144,1329.49845342007,0,"Yes"
"1520","TriNet Group Inc","TNET","20202010",1099130,1014,615,690,313,15,22,289,7,476,5034.35888455383,1e-04,"Yes"
"1521","8x8  Inc.","EGHT","45201020",1099131,521,207,754,247,19,74,102,82,-27,2873.623563477,0,"Yes"
"1522","Albany International Corp.","AIN","20106020",1099132,901,554,472,1490,50,16,172,32,118,2444.17367352946,0,"Yes"
"1523","Gibraltar Industries Inc","ROCK","20102010",1099133,1247,909,449,285,95,0,341,0,121,2207.76053936407,0.001,"Yes"
"1524","Proto Labs Inc","PRLB","20106020",1099134,455,223,345,435,19,0,143,33,60,3626.30940846613,0,"Yes"
"1525","Builders FirstSource  Inc.","BLDR","20102010",1099135,8913,6585,4684,1524,133,274,798,0,400,4227.07921198694,0.4166,"Yes"
"1526","Four Corners Property Trust Inc","FCPT","60101040",1099136,175,0,98,2312,57,4,0,0,-66,2118.83338059647,0,"Yes"
"1527","Kaman Corporation","KAMN","20106020",1099137,826,559,551,148,-18,6,-66,12,51,1603.95950666266,0,"Yes"
"1528","Myriad Genetics  Inc.","MYGN","35101020",1099138,629,184,1457,209,605,50,327,70,12,1109.86528488,0,"Yes"
"1529","Merit Medical Systems  Inc.","MMSI","35101020",1099139,1034,539,915,752,561,44,445,65,82,3267.50144834134,1e-04,"Yes"
"1530","FibroGen Inc","FGEN","35201010",1099141,465,20,254,196,0,0,0,378,-67,3775.23019109193,0,"Yes"
"1531","Supernus Pharmaceuticals Inc","SUPN","35202010",1099142,567,80,521,51,24,22,0,137,149,1214.13428084269,0,"Yes"
"1532","Atlas Air Worldwide Holdings  Inc.","AAWW","20301010",1099144,3111,1398,2257,5218,36,340,40,0,184,1576.06063026479,0.0015,"Yes"
"1533","NIC Inc.","EGOV","45102030",1099145,435,261,180,36,22,0,5,0,89,1634.95580190801,0,"Yes"
"1534","Aerojet Rocketdyne Holdings Inc","AJRD","20101010",1099146,2179,1796,161,1155,58,8,163,73,209,3578.62921394708,0.012,"Yes"
"1535","Caleres Inc","CAL","25504010",1099147,2101,1280,3068,1289,322,171,254,0,92,473.1562608993,6e-04,"Yes"
"1536","Comfort Systems USA  Inc.","FIX","20103010",1099148,2771,2246,903,361,198,39,412,0,190,1881.33899910221,0.0032,"Yes"
"1537","Navistar International Corp","NAV","20106010",1099149,8817,7201,2555,3388,23,112,35,250,218,3942.41000478671,0.3754,"Yes"
"1538","Wabash National Corporation","WNC","20106010",1099150,1773,1549,372,553,209,12,343,15,52,999.440208294,0.0035,"Yes"
"1539","RH","RH","25504060",1099152,2838,1523,2108,1866,86,332,124,0,373,11710.5908201912,0.0014,"Yes"
"1540","Omnicell  Inc.","OMCL","35101010",1099153,1031,529,813,161,267,89,447,77,106,5262.11243119569,1e-04,"Yes"
"1541","E. W. Scripps Co","SSP","50201020",1099154,1864,583,1434,905,1213,57,2112,0,184,1109.33474496508,0.001,"Yes"
"1542","Select Medical Holdings Corporation","SEM","35102015",1099155,5835,4965,355,1968,493,1647,3740,0,449,3529.172194384,0.1832,"Yes"
